Question,Predicted Answer,Actual Answer
How many backpack in image?,0,0
How many dining table in image?,1,0
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
Are there any hot dog in image?,No,No
Is the hair below the face?,No,No
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
How many traffic light in image?,0,0
Are there any fork in image?,Yes,No
Are there any book in image?,Yes,No
Are there any clock in image?,Yes,No
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
Are there any elephant in image?,No,No
Are there any suitcase in image?,No,No
Are there any bottle in image?,Yes,No
Are there any microwave in image?,No,No
How many refrigerator in image?,0,0
Where is the phone receiver?,Above,Above
Is the receiver below the phone?,No,No
Is the phone on the ground?,Yes,Yes
What color is the phone base?,Black,Red
What color is the shirt?,White,Pink
What color is the background?,Green,Yellow
Is the phone red?,Yes,Yes
Is the background yellow?,Yes,Yes
Is the shirt pink?,Yes,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
Are there any suitcase in image?,No,No
Are there any dining table in image?,Yes,No
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
Are there any suitcase in image?,No,No
Are there any cake in image?,No,No
Are there any chair in image?,Yes,No
How many toaster in image?,0,0
Is the green cap above the jacket?,No,No
What color is the cap?,Black,White
What color is the skirt?,Black,Blue
Is the cap white?,Yes,Yes
Is the jacket green?,Yes,Yes
Is the skirt blue?,Yes,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
How many horse in image?,1,0
How many wine glass in image?,1,0
How many orange in image?,0,0
Are there any couch in image?,No,No
Are there any cell phone in image?,No,No
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
How many horse in image?,1,0
Where is the hand with the bracelet?,Right,Above
Where is the lightbulb?,Above,Behind
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
Are there any truck in image?,Yes,No
Are there any laptop in image?,No,No
Is the smoke in behind of the person's face?,No,No
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
Are there any wine glass in image?,Yes,No
How many scissors in image?,1,0
Where is the fern in relation to the woman's face?,Above,Front
Where is the woman's hair relative to her face?,Above,Above
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
Are there any skateboard in image?,No,No
What is the position of the arm?,Above,Left
What is the location of the woman's head?,Above,Above
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
Are there any bicycle in image?,Yes,No
Are there any handbag in image?,No,No
How many spoon in image?,1,0
Is the woman wearing a denim jacket?,Yes,Yes
Is the tattoo on the woman's arm?,Yes,Yes
Is the woman sitting on a bench?,Yes,Yes
What color is the denim jacket?,Blue,Blue
What color are the woman's hair?,Red,White
What color is the bench?,Brown,Brown
Is the woman's jacket blue?,Yes,Yes
Is the woman's hair gray?,Yes,Yes
Is the bench brown?,Yes,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
Are there any frisbee in image?,No,No
Are there any banana in image?,No,No
How many oven in image?,0,0
Are there any toothbrush in image?,No,No
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
How many banana in image?,0,0
What is the position of woman's hair relative to her shoulders?,Above,Below
Are the woman's hands near her face?,Yes,Yes
Are the woman's eyes closed?,Yes,Yes
What color is the background on the right?,Red,Brown
What is the color of the skin?,Brown,Brown
Is the background on the right teal?,No,No
Is the skin color Brown?,Yes,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
How many handbag in image?,0,1
Are there any handbag in image?,No,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
How many elephant in image?,0,0
How many chair in image?,1,1
Are there any chair in image?,Yes,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
How many dog in image?,1,1
Are there any dog in image?,Yes,Yes
Are there any hot dog in image?,No,No
Where is the woman's hair?,Above,Above
Are both puppies on the person's shoulders?,Yes,Yes
Is one puppy on the left shoulder?,No,No
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
How many cat in image?,1,0
How many bowl in image?,1,0
Are there any cell phone in image?,No,No
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
How many bicycle in image?,1,0
How many fire hydrant in image?,0,0
How many horse in image?,1,0
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
Are there any snowboard in image?,No,No
How many orange in image?,0,0
How many sink in image?,0,0
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
How many refrigerator in image?,0,0
What side of the ATM is the woman standing on?,Left,Right
Is the woman standing in behind of the ATM?,No,No
Is the concrete wall to the left of the brick wall?,No,No
What is the color of the brick?,Red,Brown
What color are the glasses?,Black,Yellow
Is the wall made of brick?,Yes,Yes
Are the glasses yellow?,Yes,Yes
Is the shirt black?,Yes,No
How many person in image?,1,1
Are there any person in image?,Yes,Yes
How many handbag in image?,0,1
Are there any handbag in image?,No,Yes
Are there any skateboard in image?,No,No
Are there any bottle in image?,Yes,No
What is the location of the purse relative to the skirt?,Below,Below
What is the location of the woman relative to the wall?,Front,Front
Is the bag to the left of the woman?,No,No
What color is the skirt?,Black,Blue
What color is the bag?,Black,Black
Is the bag black?,Yes,Yes
Does the skirt have red color?,No,No
How many person in image?,1,1
Are there any person in image?,Yes,Yes
How many skateboard in image?,0,1
Are there any skateboard in image?,No,Yes
How many wine glass in image?,1,0
Are there any clock in image?,Yes,No
How many person in image?,1,1
Are there any person in image?,Yes,Yes
How many bus in image?,1,0
How many handbag in image?,0,1
Are there any handbag in image?,No,Yes
Where is the backpack?,Behind,Behind
Is the woman sitting on the wall?,Yes,Yes
Are the buildings front the wall?,No,No
What color is the jacket?,Black,Blue
What color is the backpack?,Black,Brown
What color are the shoes?,Black,White
Is the jacket blue?,Yes,Yes
Is the skirt black?,Yes,Yes
Are the shoes white?,Yes,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
Are there any cat in image?,Yes,No
How many backpack in image?,0,0
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
Are there any truck in image?,Yes,No
Are there any snowboard in image?,No,No
Are there any potted plant in image?,Yes,No
Are there any microwave in image?,No,No
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
How many traffic light in image?,0,0
How many dining table in image?,1,0
Are there any microwave in image?,No,No
Where is the sun in relation to the woman?,Behind,Above
Is the person in behind of the trees?,No,No
Is the sun below the person?,No,No
What color is the dress?,White,Pink
What color is the foliage?,Green,Green
What color are the sunbeams?,Orange,Yellow
Is the dress pink?,Yes,Yes
Are the trees green?,Yes,Yes
Is there any black in the scene?,No,No
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
How many car in image?,1,0
How many bus in image?,1,0
How many person in image?,1,2
Are there any person in image?,Yes,Yes
How many giraffe in image?,0,0
Are there any pizza in image?,No,No
Where is the barber shop bucket relative to the barber?,Left,Behind
Where is the red phone booth?,Right,Left
Is the man with the brown apron standing between the two barber chairs?,No,No
Is the television screen below the right barber chair?,No,No
"Are the Jack Daniel's, Budweiser and Heineken logos next to each other?",Yes,Yes
What is the color of the frame on the left side?,Black,Red
What is the color of the Heineken logo?,Blue,Green
What is the color of the apron of the barber in the middle?,Green,Red
Is the Heineken logo green?,Yes,Yes
Is the frame on the right side red?,No,No
Is the barber's apron red?,Yes,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
Are there any fork in image?,Yes,No
Are there any toaster in image?,No,No
How many sink in image?,0,0
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
Are there any microwave in image?,No,No
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
Are there any stop sign in image?,No,No
Are there any horse in image?,Yes,No
How many elephant in image?,0,0
How many sports ball in image?,0,0
Are there any couch in image?,No,No
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
Are there any sports ball in image?,No,No
Are there any couch in image?,No,No
How many microwave in image?,0,0
How many refrigerator in image?,0,0
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
Are there any mouse in image?,No,No
How many person in image?,1,1
Are there any person in image?,Yes,Yes
How many airplane in image?,1,0
Are there any boat in image?,No,No
How many chair in image?,1,1
Are there any chair in image?,Yes,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
How many zebra in image?,0,0
Are there any potted plant in image?,Yes,No
How many person in image?,1,2
Are there any person in image?,Yes,Yes
Are there any orange in image?,No,No
Are there any couch in image?,No,No
Are there any toothbrush in image?,No,No
Where is the microphone in relation to the woman's mouth?,Above,Front
Where is the woman's hand relative to the microphone?,Above,Right
Where is the pattern relative to the woman's head?,Above,Behind
Is the microphone stand front the woman's hand?,No,No
What color is the woman's shirt?,White,Blue
What color is the microphone's head?,Black,Black
What color is the woman's earrings?,Red,Brown
Is the woman's shirt blue?,Yes,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
How many bench in image?,0,0
How many cow in image?,1,0
How many umbrella in image?,0,1
Are there any umbrella in image?,No,Yes
Are there any donut in image?,No,No
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
How many traffic light in image?,0,0
Are there any bench in image?,No,No
Are there any cow in image?,No,No
Are there any giraffe in image?,No,No
Are there any laptop in image?,No,No
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
Where is the hand relative to the face?,Above,Front
Is the hand in behind of the person's face?,No,No
What color is the background?,Green,Green
Is the background green?,Yes,Yes
Is the shirt blue?,Yes,No
Are the fingernails of the person's hand white?,Yes,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
How many car in image?,1,0
Are there any skateboard in image?,No,No
How many cup in image?,1,1
Are there any cup in image?,Yes,Yes
How many remote in image?,0,0
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
Are there any bus in image?,No,No
Are there any baseball glove in image?,No,No
How many skateboard in image?,0,0
Are there any hot dog in image?,No,No
How many tv in image?,0,0
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
Are there any skis in image?,No,No
How many toothbrush in image?,0,0
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
Are there any stop sign in image?,No,No
Is the structure front the person?,No,No
What color are the sunglasses?,Black,Red
What color is the jacket?,Black,Pink
What color is the purse?,Black,Red
Does the person wear a yellow sunglasses?,No,No
Is the jacket pink?,Yes,Yes
Is the bag red?,Yes,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
How many baseball bat in image?,0,0
Where is the camera in relation to the woman?,Front,Front
Where is the woman in relation to the wall?,Front,Front
Where is the beanie relative to the head?,Above,Above
Is the orange jacket to the left of the white shirt?,No,No
What color is the hat?,Black,Red
What color is the jacket?,Black,Yellow
What color is the shirt?,White,White
Is the hat red?,Yes,Yes
Is the jacket yellow?,Yes,Yes
Is the shirt white?,Yes,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
Are there any airplane in image?,No,No
Are there any train in image?,No,No
How many sheep in image?,0,0
Are there any frisbee in image?,No,No
Is the ear piercing visible?,Yes,Yes
Is the collar visible?,Yes,Yes
What color are the stripes on the coat?,Black,Red
What color is the background?,Green,Blue
What color is the trim on the coat?,Black,Black
Is there any orange on the coat?,No,No
Is there any white on the coat?,No,No
Is there any red on the coat?,No,No
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
How many motorcycle in image?,1,0
Are there any knife in image?,Yes,No
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
Are there any bicycle in image?,Yes,No
Are there any bird in image?,Yes,No
Are there any cat in image?,Yes,No
How many dog in image?,1,0
Are there any spoon in image?,Yes,No
Are there any orange in image?,No,No
How many vase in image?,1,0
Where is the smoke relative to the woman?,Behind,Above
Where is the dress relative to the grass?,Above,Front
Is the orange smoke above the woman?,No,No
What color is the smoke?,White,Blue
What color is the sky?,Blue,Blue
What color is the tube?,White,Yellow
Is the smoke blue?,Yes,Yes
Is the tube yellow?,Yes,Yes
Does the dress have the color white?,Yes,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
Are there any motorcycle in image?,Yes,No
Are there any umbrella in image?,No,No
How many apple in image?,0,0
Are there any remote in image?,No,No
Are there any scissors in image?,Yes,No
Where is the hair in relation to the face?,Front,Above
"Is the letter ""E"" to the right of the woman?",No,No
What color is the shirt?,White,White
What color is the belt?,Black,Black
Is the shirt white?,Yes,Yes
Is the pants black?,Yes,No
Is the belt black?,Yes,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
How many motorcycle in image?,1,0
Are there any handbag in image?,No,No
Where is the bamboo background?,Behind,Behind
Where are the yellow-green leaves?,Above,Above
Where is the woman with auburn hair?,Right,Left
Are the two people hugging each other?,Yes,Yes
Are the plants front the people?,No,No
What color are the leaves?,Green,Green
What color are the leaves in the top right?,Green,Yellow
Is the background brown?,Yes,Yes
Are the leaves green?,Yes,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
Are there any suitcase in image?,No,No
Where is the bouquet relative to the woman?,Front,Below
Is the bouquet in behind of the woman?,No,No
What color are the petals of some of the flowers?,Pink,White
What is the color of the water?,Blue,Green
What color is the dress?,White,White
Is the dress white?,Yes,Yes
Are some flowers white?,Yes,Yes
Is the water green?,Yes,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
How many traffic light in image?,0,0
How many donut in image?,0,0
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
How many traffic light in image?,0,0
Are there any hair drier in image?,No,No
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
How many skateboard in image?,0,0
Where is the lake compared to the woman?,Behind,Behind
Where is the woman's face looking?,Left,Left
Where is the buildings compared to the woman?,Behind,Behind
Is the woman's necklace below her shirt?,No,No
What color is the woman's dress?,Black,Pink
What color is the woman's hair?,Red,Brown
What color is the small object on her necklace?,Red,Black
Is the woman's dress pink?,Yes,Yes
Is the woman's hair brown?,Yes,Yes
Is the necklace black?,Yes,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
How many traffic light in image?,0,0
How many zebra in image?,0,0
How many backpack in image?,0,0
How many umbrella in image?,0,1
Are there any umbrella in image?,No,Yes
How many cup in image?,1,0
Are there any hot dog in image?,No,No
How many keyboard in image?,0,0
Are there any toaster in image?,No,No
Where is the fan in relation to the man's head?,Above,Left
What is the position of the man's head?,Above,Right
Is the fan to the right of the man's face?,No,No
Is the man wearing a vest?,Yes,Yes
What color is the vest?,Green,Black
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
How many kite in image?,0,0
How many fork in image?,1,0
Where is the woman's head?,Above,Left
Is the woman's hand on her head?,Yes,Yes
Is the woman wearing a necklace?,Yes,Yes
What is the color of the woman's dress?,White,Black
What color are the background walls?,White,Green
What color is the woman's skin?,Brown,Orange
Is the woman wearing a blue dress?,No,No
Is the background wall green?,Yes,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
Are there any bus in image?,No,No
Are there any handbag in image?,No,No
Are there any pizza in image?,No,No
Are there any cell phone in image?,No,No
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
Are there any bench in image?,No,No
Are there any chair in image?,Yes,No
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
How many backpack in image?,0,0
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
How many handbag in image?,0,0
Are there any laptop in image?,No,No
How many person in image?,1,1
Are there any person in image?,Yes,Yes
How many bird in image?,1,0
Are there any cow in image?,No,No
How many handbag in image?,0,1
Are there any handbag in image?,No,Yes
How many orange in image?,0,0
Is the bag to the left of the scarf?,No,No
Is the scarf on the woman?,Yes,Yes
What color is the scarf?,Red,Red
What color is the bag?,Black,Brown
Is the coat gray?,Yes,Yes
Is the scarf red?,Yes,Yes
Is the bag brown?,Yes,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
How many chair in image?,1,0
How many person in image?,1,2
Are there any person in image?,Yes,Yes
Are there any umbrella in image?,No,No
Are there any spoon in image?,Yes,No
How many vase in image?,1,1
Are there any vase in image?,Yes,Yes
Where is the woman relative to the man?,Behind,Left
Where are the tall palm leaves in relation to the people?,Behind,Behind
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
Are there any bear in image?,No,No
Are there any backpack in image?,No,No
How many bird in image?,1,1
Are there any bird in image?,Yes,Yes
Are there any horse in image?,Yes,No
How many bottle in image?,1,0
How many orange in image?,0,1
Are there any orange in image?,No,Yes
Are there any potted plant in image?,Yes,No
Are there any book in image?,Yes,No
How many person in image?,1,1
Are there any person in image?,Yes,Yes
How many car in image?,1,1
Are there any car in image?,Yes,Yes
How many tv in image?,0,0
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
Are there any motorcycle in image?,Yes,No
Are there any handbag in image?,No,No
How many baseball glove in image?,0,0
Are there any cup in image?,Yes,No
How many remote in image?,0,0
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
Are there any airplane in image?,No,No
Are there any keyboard in image?,No,No
How many toothbrush in image?,0,0
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
How many person in image?,1,1
Are there any person in image?,Yes,Yes
Are there any car in image?,Yes,No
How many sheep in image?,0,0
How many umbrella in image?,0,1
Are there any umbrella in image?,No,Yes
Are there any kite in image?,No,No
Are there any bowl in image?,Yes,No
Are there any toilet in image?,No,No
Are there any scissors in image?,Yes,No
How many person in image?,1,1
Are there any person in image?,Yes,Yes
How many car in image?,1,0
How many elephant in image?,0,0
How many cell phone in image?,1,1
Are there any cell phone in image?,No,Yes
Where is the phone relative to the woman?,Front,Right
How many person in image?,1,1
Are there any person in image?,Yes,Yes
How many motorcycle in image?,1,0
Are there any stop sign in image?,No,No
How many tv in image?,0,1
Are there any tv in image?,No,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
How many baseball bat in image?,0,0
Are there any knife in image?,Yes,No
Are there any potted plant in image?,Yes,No
Where is the raven located?,Above,Right
Is the sword in behind of the woman's dress?,No,No
Is the raven on the left side of the chair?,No,No
Is the woman sitting in the chair?,Yes,Yes
What color are the feathers around the woman's neck?,White,Black
What color is the woman's dress?,Black,Green
What color are the decorative objects on the woman's head?,Red,Brown
What color are the feathers around the woman's neck?,White,Yes
Is the woman's dress green?,Yes,Yes
Is the sword handle black?,Yes,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
How many person in image?,1,1
Are there any person in image?,Yes,Yes
Are there any cat in image?,Yes,No
How many surfboard in image?,0,1
Are there any surfboard in image?,No,Yes
Are there any tv in image?,No,No
Where is the surfboard?,Left,Right
Is the surfboard to the left of the person?,No,No
How many person in image?,1,2
Are there any person in image?,Yes,Yes
How many knife in image?,1,0
Are there any remote in image?,No,No
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
Are there any hair drier in image?,No,No
Is the scarf around the boy's neck?,Yes,Yes
Are the boy's hands in his pockets?,Yes,Yes
What color is the scarf?,Red,Black
What color are the suspenders?,Brown,White
Is the scarf black?,Yes,Yes
Are the suspenders white?,Yes,Yes
Are the shorts blue?,Yes,No
How many person in image?,1,2
Are there any person in image?,Yes,Yes
Are there any cow in image?,No,No
Are there any suitcase in image?,No,No
Are there any potted plant in image?,Yes,No
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
Are there any cow in image?,No,No
Are there any bear in image?,No,No
Are there any orange in image?,No,No
How many bed in image?,0,0
Are there any teddy bear in image?,Yes,No
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
Are there any sheep in image?,No,No
How many oven in image?,0,0
Are there any toaster in image?,No,No
Is the hair below the eyes?,No,No
Is the chain around the neck?,Yes,Yes
What color is the background?,Green,Green
What color are the child's eyes?,Blue,Green
Is the necklace golden?,Yes,Yes
Are the eyes blue?,Yes,Yes
Is the background green?,Yes,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
How many cup in image?,1,0
How many hot dog in image?,0,0
Is the phone in behind of the person's eye?,No,No
What is the color of the background?,Green,Brown
What color is the phone screen's frame?,Black,Black
What color is the sweater?,White,Brown
Is the frame of the phone black?,Yes,Yes
Is the color of the background brown?,Yes,Yes
Is the sweater brown?,Yes,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
Are there any bird in image?,Yes,No
How many sheep in image?,0,0
Are there any frisbee in image?,No,No
Are there any microwave in image?,No,No
How many hair drier in image?,0,0
Where is the ocean relative to the woman?,Behind,Behind
Is the ocean in the background?,Yes,Yes
What color is the swimsuit?,Red,White
Is the woman's hair blonde?,Yes,Yes
Is the swimsuit white?,Yes,Yes
Is the sea light color?,Yes,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
Are there any cow in image?,No,No
Are there any elephant in image?,No,No
Are there any chair in image?,Yes,No
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
Are there any baseball glove in image?,No,No
Are there any knife in image?,Yes,No
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
How many cat in image?,1,0
Are there any elephant in image?,No,No
How many bear in image?,0,0
How many backpack in image?,0,0
Are there any handbag in image?,No,No
Are there any snowboard in image?,No,No
How many sink in image?,0,0
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
Are there any elephant in image?,No,No
How many skateboard in image?,0,0
How many carrot in image?,0,0
How many vase in image?,1,0
Where is the flower relative to the woman's hair?,Above,Left
Is the flower to the right of the woman's face?,No,No
What color are the woman's braids?,Red,Brown
What color is the woman's shirt?,White,Pink
What color are the flowers?,White,White
Is the woman's shirt beige?,Yes,Yes
Are the flowers white?,Yes,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
Are there any hot dog in image?,No,No
Are there any clock in image?,Yes,No
What is the position of the eyes relative to the nose?,Above,Above
Where is the mouth located relative to the eyes?,Above,Below
What is the position of the hair relative to the ears?,Above,Above
Is the mouth under the nose,Yes,Yes
How many person in image?,1,3
Are there any person in image?,Yes,Yes
How many wine glass in image?,1,1
Are there any wine glass in image?,Yes,Yes
Where is the bottle in relation to the middle woman?,Right,Front
Where is the woman with brown hair standing in relation to the woman with blonde hair?,Behind,Right
Is the bottle being poured into the middle glass?,Yes,Yes
Is the woman on the left side holding a glass?,No,No
What color is the dress on the left side?,Blue,Black
What color are the berries in the glasses?,Red,Red
Is the wall decoration gold?,Yes,Yes
Are the dresses black?,Yes,Yes
Are the berries in the glasses red?,Yes,Yes
How many person in image?,1,2
Are there any person in image?,Yes,Yes
Are there any train in image?,No,No
How many orange in image?,0,0
Are there any cell phone in image?,No,No
Are the two women holding hands?,Yes,Yes
Are both women standing on the grass?,Yes,Yes
What color are the shoes of the woman with long black hair?,Black,White
What color is the sky?,Blue,Blue
What color is the grass?,Green,Green
Is the sky blue?,Yes,Yes
Is the grass green?,Yes,Yes
Are the skirts white?,Yes,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
Are there any stop sign in image?,No,No
Are there any bird in image?,Yes,No
How many frisbee in image?,0,0
How many sports ball in image?,0,0
Are there any carrot in image?,No,No
Are there any remote in image?,No,No
Is the woman in behind of the rusted wall?,No,No
What color are the checks on the dress?,Red,Black
What color is the woman's lip?,Red,Red
What color is the woman's hair?,Red,Black
Is the woman's hair color black?,Yes,Yes
Is the woman's lip red?,Yes,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
Are there any cat in image?,Yes,No
Are there any frisbee in image?,No,No
Are there any tv in image?,No,No
Where is the orange smoke compared to the girl?,Below,Left
Where is the blue smoke in relation to the woman?,Behind,Behind
Is the red smoke in front of the door?,No,No
Is the person standing in behind of the wall?,No,No
What is the color of the smoke?,White,Orange
What is the color of the shoes?,Black,Red
What is the color of the dress?,White,Black
Is there any smoke?,Yes,Yes
Are the shoes red?,Yes,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
Are there any knife in image?,Yes,No
Are there any toothbrush in image?,No,No
Where is the woman relative to the grass?,Above,Above
Is the mirror above the woman?,No,No
Is the woman lying on the grass?,Yes,Yes
What color are the eyes of the woman?,Brown,Blue
What color is the grass?,Green,Green
Is the color of the grass green?,Yes,Yes
Is the woman's eye color blue?,Yes,Yes
Is the color of the mirror silver?,Yes,No
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
Are there any bottle in image?,Yes,No
Are there any sink in image?,No,No
Where are the flowers held?,Behind,Behind
Are the flowers front the person?,No,No
What is the color of the jacket?,Black,Pink
What color are the slippers?,Brown,Blue
What color are the flowers?,White,White
Is the jacket pink?,Yes,Yes
Are the flowers white?,Yes,Yes
Are the socks white?,Yes,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
How many bear in image?,0,0
Are there any zebra in image?,No,No
Is the woman sitting on the steps?,Yes,Yes
Is the skirt on the steps?,Yes,Yes
What is the color of the skirt?,Black,Yellow
What color is the woman's shirt?,White,White
What color are the shoes?,Black,White
Is the skirt yellow?,Yes,Yes
Is the woman's shirt white?,Yes,Yes
Are the shoes white?,Yes,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
How many horse in image?,1,1
Are there any horse in image?,Yes,Yes
How many baseball bat in image?,0,0
Are there any baseball bat in image?,No,No
How many bottle in image?,1,0
Are there any refrigerator in image?,No,No
Where is the brown horse relative to the black horse?,Left,Left
Where are the horses relative to the spotlights?,Behind,Below
Where is the person relative to the black horse?,Behind,Right
Are the horses on the stage?,Yes,Yes
Is the person in the right-hand corner holding something that touches the dark horse's face?,Yes,Yes
What is the color of the horse on the right?,Brown,Black
What is the color of the lights?,Yellow,White
Is the color of the horse on the left black?,No,No
Is the color of the horse on the right brown?,No,No
How many horse in image?,1,5
Are there any horse in image?,Yes,Yes
Are there any elephant in image?,No,No
Are there any surfboard in image?,No,No
Are there any broccoli in image?,No,No
How many bus in image?,1,0
How many horse in image?,1,1
Are there any horse in image?,Yes,Yes
What is the name of the object in the image?,person,horse
Are there any zebra in image?,No,No
Are there any wine glass in image?,Yes,No
Are there any cup in image?,Yes,No
Are there any bowl in image?,Yes,No
Is the horse running in behind of the trees?,No,No
Is there a fence front the horse?,No,No
What color is the horse?,Brown,Black
